herd,year,est,sd
Wells Gray North,2001,0.8333333333333334,0.15214515486254615
Wells Gray North,2002,1,0.06858157934067705
Wells Gray North,2003,0.9090909090909091,0.08667841720414475
Wells Gray North,2004,1,0.10646213429144503
Wells Gray North,2005,0.8888888888888888,0.10475656017578482
Wells Gray North,1984,0.7105263157894737,0.10951630922247245
Wells Gray North,1983,1,0.06145446811788053
Wells Gray North,1992,1,0.06397293944650216
Wells Gray North,1993,1,0.05098936855050151
Wells Gray North,1994,0.8444444444444443,0.0826349335084118
Wells Gray South,1998,0.8499999999999999,0.07984359711335655
Wells Gray South,1999,1,0.052886736365809296
Wells Gray South,2000,0.8156862745098039,0.0962816703429334
Wells Gray South,2001,0.7692307692307693,0.11685454235580771
Wells Gray South,2002,0.8181818181818181,0.11629129983033294
Wells Gray South,2003,0.7999999999999999,0.12649110640673517
Wells Gray South,2004,0.6136363636363635,0.152632331027312
Wells Gray South,2005,0.8333333333333334,0.15214515486254615
Wells Gray South,2006,1,0.13289065140691333
Wells Gray South,2007,1,0.1334677878181802
Wells Gray South,1985,1,0.04540847606222142
Wells Gray South,1986,0.9130434782608696,0.058753384755841416
Wells Gray South,1987,0.8636363636363635,0.07316500499845359
Wells Gray South,1988,1,0.05319196311940389
Wells Gray South,2008,1,0.27448985047054925
Wells Gray South,1996,0.8,0.17888543819998318
Wells Gray South,1997,0.9545454545454546,0.04440947367810884
Frisby-Boulder,2000,1,0.21713393826656224
Frisby-Boulder,2001,1,0.18500666871080018
Frisby-Boulder,2002,1,0.21181032461524102
Frisby-Boulder,2003,0.6666666666666666,0.2721655269759087
Frisby-Boulder,1994,1,0.22438535220973374
Frisby-Boulder,1995,1,0.20959214290227232
Frisby-Boulder,1996,1,0.22314971610063794
Frisby-Boulder,1997,0.5,0.25
Kennedy Siding,2016,1,0.0883657327112364
Kennedy Siding,2017,0.9090909090909091,0.08667841720414475
Kennedy Siding,2018,1,0.05286802166428478
Kennedy Siding,2019,1,0.08053786350884724
Kennedy Siding,2020,1,0.06969111672020271
Kennedy Siding,2002,1,0.21634866360632948
Kennedy Siding,2003,0.875,0.11692679333668568
Kennedy Siding,2004,0.7142857142857143,0.17074694419062766
Kennedy Siding,2005,1,0.08096050403947276
Kennedy Siding,2006,0.9,0.09486832980505137
Kennedy Siding,2007,0.8461538461538461,0.10006825162892166
Kennedy Siding,2008,0.875,0.08267972847076845
Kennedy Siding,2009,0.9444444444444444,0.05399029532264167
Kennedy Siding,2010,0.6923076923076923,0.1280077375904375
Kennedy Siding,2011,1,0.13099928959769122
Kennedy Siding,2012,0.8571428571428571,0.13226001425322162
Kennedy Siding,2013,0.6666666666666667,0.1924500897298753
Kennedy Siding,2014,1,0.1173317992963795
Kennedy Siding,2015,0.7142857142857143,0.17074694419062766
Quintette,2016,0.9166666666666666,0.07978559231302818
Quintette,2017,1,0.04984354638223533
Quintette,2018,0.9375,0.060515364784490884
Quintette,2019,0.8181818181818181,0.11629129983033294
Quintette,2020,0.9333333333333333,0.06440611887195306
Quintette,2002,0.5,0.3535533905932738
Quintette,2003,1,0.0949111064002432
Quintette,2004,1,0.11624521689278446
Quintette,2005,1,0.07550648321028156
Quintette,2006,1,0.06829700438041143
Quintette,2007,0.8235294117647058,0.09245944094039714
Quintette,2008,0.8441558441558441,0.1019487770868219
Quintette,2009,0.9090909090909091,0.08667841720414475
Quintette,2010,1,0.050595824308310444
Quintette,2011,0.9090909090909091,0.08667841720414475
Quintette,2012,0.9411764705882353,0.057067205890901876
Quintette,2013,0.7810650887573966,0.11154821036055301
Quintette,2014,0.6545454545454545,0.13916138224392235
Quintette,2015,0.6470588235294118,0.11590404307573861
Wolverine,2015,0.9666666666666667,0.0327730693416725
Wolverine,2016,0.8680555555555556,0.061866028220468605
Wolverine,2017,0.7428571428571428,0.07387642348897153
Wolverine,2018,0.8421052631578947,0.059152788099896464
Wolverine,2019,1,0.03049832653374375
Wolverine,1998,0.9166666666666666,0.07978559231302818
Wolverine,1999,0.8317580340264651,0.07667538649985585
Wolverine,2000,0.95,0.04873397172404482
Wolverine,2001,0.8673913043478261,0.07138143338872681
Wolverine,2002,0.9473684210526315,0.05122781719918817
Wolverine,2003,1,0.0554159072345344
Wolverine,2004,0.7058823529411765,0.1105101690150264
Wolverine,2005,0.75,0.125
Wolverine,2006,0.8888888888888888,0.10475656017578482
Wolverine,2007,0.9285714285714286,0.0688302936899594
Wolverine,2008,0.96,0.03919183588453085
Wolverine,2009,0.9130434782608696,0.058753384755841416
Wolverine,1996,0.7859649122807018,0.09506708056397939
Wolverine,1997,0.9285714285714286,0.0688302936899594
Wolverine,1995,1,0.04148095502676391
Wolverine,1992,1,0.07736268470642041
Wolverine,1993,1,0.07710811201628862
Wolverine,1994,1,0.08432970965016949
Wolverine,2010,1,0.07883222739229889
Wolverine,2011,1,0.11993954673029993
Wolverine,2012,1,0.11482560382725705
Wolverine,1991,1,0.11821050597863107
Tweedsmuir,2015,0.7521367521367521,0.10881435214249795
Tweedsmuir,2016,0.8482142857142856,0.08126582553137224
Tweedsmuir,2017,0.894736842105263,0.07040590042736196
Tweedsmuir,2018,0.8020050125313283,0.08876341857135248
Tweedsmuir,2019,0.8458646616541353,0.0844041704669784
Tweedsmuir,2020,0.8586666666666667,0.06572706753999762
Tweedsmuir,2014,0.875,0.08267972847076845
Telkwa,2011,0.14285714285714285,0.13226001425322165
Telkwa,2014,1,0.18518405204858518
Telkwa,2015,1,0.17736543772251243
Telkwa,2016,1,0.2158275214587321
Telkwa,2017,1,0.17726370870096975
Telkwa,2018,0.75,0.21650635094610965
Telkwa,2019,0.8333333333333334,0.15214515486254615
Telkwa,2020,1,0.1181103697159325
Telkwa,2007,0.8823529411764706,0.07814248990059663
Telkwa,2008,0.7368421052631579,0.10102261788814663
Telkwa,2009,0.7272727272727273,0.13428162652290843
Telkwa,2010,1,0.12774581191510614
Telkwa,2005,0.5454545454545454,0.150131422517231
Telkwa,2006,0.9444444444444444,0.05399029532264167
Telkwa,1998,1,0.03803550523179792
Telkwa,1999,1,0.03703505052985381
Telkwa,2000,0.8846153846153847,0.06265626800161944
Telkwa,2001,0.7690476190476189,0.09046059956371168
Telkwa,2002,0.9375,0.060515364784490884
Telkwa,2003,1,0.05413031114275607
Telkwa,2004,0.8571428571428572,0.09352195295828244
Telkwa,1997,0.45454545454545453,0.32432094000576167
Telkwa,1994,1,0.1797534737113899
Telkwa,1995,1,0.183424329041936
Telkwa,1996,0.4,0.21908902300206645
Telkwa,1992,1,0.270011554517406
Telkwa,1993,1,0.2737432735689943
Graham,2017,0.6190476190476191,0.10597116957413082
Graham,2018,0.7304347826086954,0.09422548321196943
Graham,2019,0.8571428571428571,0.07636035483212125
Graham,2020,0.894736842105263,0.07040590042736196
Graham,2014,1,0.04611473458252101
Graham,2015,0.896551724137931,0.056552304164538
Graham,2016,0.8076923076923077,0.07729201466043273
North Cariboo,2017,1,0.06874996866067608
North Cariboo,2018,0.8511904761904762,0.09731256504049632
North Cariboo,2019,0.9285714285714286,0.0688302936899594
North Cariboo,2020,0.9090909090909091,0.08667841720414475
North Cariboo,1995,1,0.21592272372916757
North Cariboo,1996,1,0.131971890359846
North Cariboo,1997,0.6666666666666666,0.2721655269759087
North Cariboo,1987,1,0.11896590798317928
North Cariboo,1988,1,0.11185235110827264
North Cariboo,1989,0.875,0.11692679333668568
North Cariboo,1990,0.8571428571428571,0.13226001425322162
North Cariboo,1991,1,0.15037268794103517
Hart South,2017,1,0.032333417609940046
Hart South,2018,0.9398148148148148,0.041427353445200384
Hart South,2019,0.8201720912832023,0.06663525571810616
Hart South,2020,0.9473684210526315,0.05122781719918817
Hart South,1987,1,0.07136856570224165
Hart South,1988,0.9230769230769231,0.07390530175619406
Hart South,1989,0.9375,0.060515364784490884
Hart South,1990,0.9375,0.060515364784490884
Hart South,1991,1,0.06372666439114058
Groundhog,2017,1,0.26227426062766507
Groundhog,2018,1,0.27376602551378654
Groundhog,1997,1,0.22020954166938875
Groundhog,1998,1,0.17187000697998317
Groundhog,1999,0.8333333333333334,0.15214515486254615
Groundhog,2000,1,0.17717615920713223
Groundhog,2001,0.5,0.25
Groundhog,2002,0.6666666666666666,0.2721655269759087
Groundhog,2003,1,0.2777539529322321
Groundhog,2004,0.6666666666666666,0.2721655269759087
Klinse-Za,2002,1,0.10297086024593721
Klinse-Za,2003,1,0.1048140543342642
Klinse-Za,2004,1,0.10390371103262652
Klinse-Za,2005,0.8888888888888888,0.10475656017578482
Klinse-Za,2006,0.8571428571428571,0.13226001425322162
Klinse-Za,2007,0.4,0.21908902300206645
Klinse-Za,2008,0.625,0.21347814095749162
Klinse-Za,2009,0.8,0.17888543819998318
Klinse-Za,2010,0.6666666666666666,0.2721655269759087
Klinse-Za,2011,0.6000000000000001,0.21908902300206645
Klinse-Za,2012,0.6666666666666666,0.2721655269759087
Klinse-Za,2013,1,0.06565722253393637
Klinse-Za,2014,0.7555555555555555,0.106676954236413
Klinse-Za,2015,1,0.04311935412535511
Klinse-Za,2016,0.8571428571428571,0.07636035483212125
Klinse-Za,2017,0.8636363636363635,0.07316500499845359
Klinse-Za,2018,0.862781954887218,0.07479230686138039
Klinse-Za,2019,0.8559670781893003,0.06660134048846135
Klinse-Za,2020,0.96,0.03919183588453085
Burnt Pine,2003,0.5,0.3535533905932738
Burnt Pine,2005,1,0.2710826795508814
Burnt Pine,2008,1,0.26844398537571096
Burnt Pine,2009,1,0.2685452680749574
Burnt Pine,2010,0.5,0.3535533905932738
Narraway BC,2013,0.41666666666666663,0.22178776975932377
Narraway BC,2006,1,0.21818006334227721
Narraway BC,2007,0.75,0.21650635094610965
Narraway BC,2008,0.8333333333333334,0.15214515486254615
Narraway BC,2009,0.5333333333333333,0.24825315633367007
Narraway BC,2010,1,0.12859001724625602
Narraway BC,2011,0.8333333333333334,0.15214515486254615
Narraway BC,2012,1,0.17844607869887036
Narraway BC,2014,1,0.2214018264802012
Narraway BC,2015,0.6666666666666666,0.2721655269759087
Purcells South,2011,1,0.21675543919454596
Purcells South,2012,1,0.21848265874474257
Purcells South,2013,1,0.21790690884164537
Purcells South,2014,1,0.2762186474256045
Purcells South,2015,1,0.26968408793449844
Purcells South,2016,1,0.2808783908530984
Purcells South,2017,1,0.2790230346294981
Purcells South,2018,1,0.27276783384422115
Purcells South,2019,1,0.2761928759525666
Purcells South,1992,1,0.1347627460852084
Purcells South,1993,0.2857142857142857,0.17074694419062764
Purcells South,1994,0.6666666666666667,0.1924500897298753
Purcells South,1995,0.75,0.21650635094610965
Purcells South,1996,0.6666666666666666,0.2721655269759087
Purcells South,1997,0.5,0.25
Nakusp,2016,1,0.13514005425052308
Nakusp,2017,0.8571428571428571,0.13226001425322162
Nakusp,2018,0.8333333333333334,0.15214515486254615
Nakusp,2019,0.8,0.17888543819998318
Nakusp,2020,1,0.1066215657441702
Nakusp,1994,1,0.09670026339644065
Nakusp,1995,0.9090909090909091,0.08667841720414475
Nakusp,1996,0.7857142857142857,0.10966421051124835
Nakusp,1997,0.7333333333333334,0.11417984514369005
Nakusp,1998,0.9285714285714286,0.0688302936899594
Nakusp,1999,0.8461538461538461,0.10006825162892166
Nakusp,2000,1,0.09548228561815443
Rainbows,1996,1,0.18140327215115856
Rainbows,1997,1,0.15626171405316897
Rainbows,1998,1,0.17951452717110644
Rainbows,1999,0.8,0.17888543819998318
Rainbows,2000,1,0.2207003537517481
Rainbows,2001,1,0.22100516007727045
Rainbows,2002,1,0.2139455776832279
Rainbows,2003,0.5,0.27255571898840414
Rainbows,2012,0.75,0.21650635094610965
Rainbows,2013,1,0.2606563244912256
Rainbows,2014,1,0.2713437030464516
Rainbows,2015,0.6666666666666666,0.2721655269759087
Barkerville,1996,1,0.1462274454373476
Barkerville,1997,1,0.18246219458411822
Barkerville,1998,1,0.18337902788451002
Barkerville,1999,0.6000000000000001,0.21908902300206645
Barkerville,2000,1,0.12227791865005472
Barkerville,2001,0.75,0.15309310892394862
Barkerville,2002,1,0.11677788564010914
Barkerville,2003,0.875,0.11692679333668568
Barkerville,2004,1,0.15081397802285437
Barkerville,2005,0.8,0.17888543819998318
Barkerville,1992,1,0.2181112331128561
Barkerville,1993,1,0.27599608784758833
Barkerville,1994,1,0.2678234419589311
Barkerville,1995,0.6666666666666666,0.2721655269759087
Central Rockies,1996,1,0.2757576190909474
Central Rockies,1997,1,0.28335953479509307
Central Rockies,1998,1,0.2769609612214472
Central Rockies,1999,1,0.27070659363527677
Takla,1995,1,0.10335939553871049
Takla,1996,1,0.10575168077097993
Takla,1997,1,0.15399609777999185
Takla,1998,1,0.2598015207105165
Takla,2011,1,0.171547277648083
Takla,2012,1,0.17874929737291648
Chase,1998,0.6666666666666666,0.2721655269759087
Chase,1999,1,0.06927247813704732
Chase,2000,1,0.07972985579731755
Chase,2001,0.8264462809917354,0.1114379937955772
Chase,2002,0.8148148148148148,0.11937703460378837
Chase,2003,0.8333333333333333,0.10758287072798378
Chase,2004,1,0.09832144784891632
Chase,1991,1,0.09840972753988565
Chase,1992,1,0.11710389702182378
Chase,1993,0.8571428571428571,0.13226001425322162
Chase,1994,1,0.27566080201337273
Chase,1995,1,0.2772700063732327
Chase,1996,1,0.2702608551357513
Chase,1997,1,0.2707265195801094
Chase,2005,0.7619047619047619,0.147932031113833
Chase,2006,0.8333333333333334,0.15214515486254615
Chase,2007,1,0.04639679802474062
Chase,2008,0.806366047745358,0.08000028581822914
Chase,2009,0.9210526315789473,0.043744076723971625
Chase,2010,0.96,0.03919183588453085
Chase,2017,0.9565217391304348,0.04252257799320224
Chase,2018,0.859090909090909,0.06039525147892095
Chase,2019,0.9141390931372548,0.04743827835432557
Chase,2020,0.9443561208267091,0.03826701070356727
Purcells Central,1994,1,0.27450099314881155
Purcells Central,1995,1,0.27541214906363926
Purcells Central,1996,0.6666666666666666,0.2721655269759087
Duncan,1996,1,0.2252259459447915
Duncan,1997,0.75,0.21650635094610965
Duncan,1998,0.5,0.3535533905932738
Duncan,1991,1,0.2698176779922598
Duncan,1992,0.6666666666666666,0.2721655269759087
A La Peche,1998,0.891086756,0.062953769
A La Peche,1999,0.892519303,0.062605271
A La Peche,2000,0.961158128,0.03904678
A La Peche,2001,0.912255975,0.062246655
A La Peche,2002,0.827678572,0.077582724
A La Peche,2003,0.984292166,0.022383029
A La Peche,2004,0.841131219,0.078206726
A La Peche,2005,0.847239071,0.089375769
A La Peche,2006,0.923171454,0.054847005
A La Peche,2007,0.839232632,0.081513661
A La Peche,2008,0.958505452,0.041347189
A La Peche,2009,0.729569057,0.092237601
A La Peche,2010,0.841796888,0.078730794
A La Peche,2011,0.792164875,0.079091953
A La Peche,2012,0.89066053,0.06245516
A La Peche,2013,0.850444516,0.07470263
A La Peche,2014,0.896208855,0.059862384
A La Peche,2015,0.926,0.051
A La Peche,2016,0.963,0.037
A La Peche,2017,0.986,0.021
A La Peche,2018,0.857,0.059
A La Peche,2019,0.91,0.05
A La Peche,2020,0.882,0.065
Narraway AB,2002,0.644695423,0.263766984
Narraway AB,2003,0.887731449,0.11010886
Narraway AB,2004,0.832061931,0.168705729
Narraway AB,2005,0.889321087,0.109751688
Narraway AB,2006,0.954389738,0.045099612
Narraway AB,2007,0.950880737,0.04907532
Narraway AB,2008,0.843670515,0.078375404
Narraway AB,2009,0.892402816,0.062096353
Narraway AB,2010,0.846461636,0.07535845
Narraway AB,2011,0.782119606,0.0887554
Narraway AB,2012,0.811605774,0.08534077
Narraway AB,2013,0.760654953,0.097494041
Narraway AB,2014,0.609929669,0.146926053
Narraway AB,2015,0.866,0.088
Narraway AB,2016,0.878,0.082
Narraway AB,2017,0.983,0.025
Narraway AB,2018,0.918,0.079
Narraway AB,2019,0.917,0.08
Narraway AB,2020,0.857,0.094
Redrock/Prairie Creek,1994,0.912272746,0.062044138
Redrock/Prairie Creek,1995,0.904828824,0.067275263
Redrock/Prairie Creek,1996,1,0.06535227470178513
Redrock/Prairie Creek,1997,1,0.06452947343525052
Redrock/Prairie Creek,1998,0.909475568,0.070976567
Redrock/Prairie Creek,1999,0.89958996,0.049692132
Redrock/Prairie Creek,2001,1,0.06682250720896343
Redrock/Prairie Creek,2002,0.830917553,0.06309622
Redrock/Prairie Creek,2003,0.942781478,0.040427379
Redrock/Prairie Creek,2004,0.622622624,0.103817311
Redrock/Prairie Creek,2005,0.851821672,0.074367533
Redrock/Prairie Creek,2006,0.729851412,0.103297938
Redrock/Prairie Creek,2007,0.835003439,0.096119556
Redrock/Prairie Creek,2008,0.848011143,0.076961386
Redrock/Prairie Creek,2009,0.796477082,0.09177978
Redrock/Prairie Creek,2010,0.84488705,0.076950114
Redrock/Prairie Creek,2011,0.688806707,0.119348946
Redrock/Prairie Creek,2012,0.915670946,0.04909999
Redrock/Prairie Creek,2013,0.518391849,0.126373763
Redrock/Prairie Creek,2014,0.76530454,0.106568114
Redrock/Prairie Creek,2015,0.774,0.089
Redrock/Prairie Creek,2016,0.799,0.081
Redrock/Prairie Creek,2017,0.8,0.073
Redrock/Prairie Creek,2018,0.892,0.059
Redrock/Prairie Creek,2019,0.984,0.023
Redrock/Prairie Creek,2020,0.87,0.07
Tweedsmuir,1984,1,0.04874601187454915
Tweedsmuir,1985,0.706,0.11049727172570159
Tweedsmuir,1986,0.917,0.06020243627406894
Tweedsmuir,1987,0.7,0.10246950765959599
Tweedsmuir,1990,0.893,0.06182264957117253
Tweedsmuir,1991,0.739,0.09583691504693943
Tweedsmuir,1992,0.909,0.04437904911103886
Tweedsmuir,1993,0.789,0.06451337070716426
Tweedsmuir,1994,0.92,0.05221040055320324
Tweedsmuir,1995,0.82,0.08010862191017785
Tweedsmuir,1996,1,0.04267382640444695
Tweedsmuir,1997,0.941,0.050235355170347024
Tweedsmuir,1998,0.933,0.05893075032046793
Tweedsmuir,1999,0.598,0.07477034606822942
Tweedsmuir,2000,0.827,0.06584439876318145
Tweedsmuir,2001,0.944,0.037298229109930185
Tweedsmuir,2002,0.941,0.04040930294753776
Tweedsmuir,2006,0.833,0.12432529017773407
Tweedsmuir,2007,0.752,0.08019287095324708
Tweedsmuir,2008,0.824,0.07940649409429829
Tonquin,2003,0.7,0.06
Tonquin,2004,0.72,0.06
Tonquin,2005,0.71,0.06
Tonquin,2006,0.7,0.06
Tonquin,2007,0.71,0.02
Tonquin,2008,0.71,0.02
Tonquin,2009,0.7,0.02
Tonquin,2010,0.7,0.02
Tonquin,2011,0.7,0.02
Tonquin,2012,0.71,0.02
Tonquin,2013,0.7,0.02
Tonquin,2014,0.7,0.02
Tonquin,2015,0.7,0.02
Tonquin,2016,0.71,0.02
Tonquin,2017,0.71,0.02
Tonquin,2018,0.7,0.02
Tonquin,2019,0.67,0.06
